Sanskrit|English
विवर्तमानः चर्पट्यः|Transforming Biscuits
अतिथेः कृते|For the guest
शीघ्रं कानि अपि खाद्यानि क्रीत्वा आगच्छ।|Buy some eatables
हा! कार्यं दत्तवती।|oh! She gave me an errand
दोरेमोन।|Doraemon
तव कृते कार्यम् अस्ति।|I have an errand for you.
अत्र नास्ति किम्?|He is not here?
विविधानां पशूनाम् आकारेषु चर्पट्यः।|Biscuits in the shapes of animals.
पर्याप्तमिति मन्ये।|These look good enough.
प्रतिक्षार्थं धन्यवादः।|Thanks for waiting.
किम् एताः? पश्वाकारे चर्पट्यः?|WHAT ARE THESE ANIMAL Biscuits!?
चिन्ता मास्तु। पश्वाकारे चर्पट्यः रोचन्ते मे।|DON'T Worry ABOUT IT, I LOvE ANIMAL BISCUITS!
किञ्चित् समुचितं क्रीणीहि।|Go BUy SOMETHING APPROPRIATE!
इदम्..इदम्..|This..This..
घर्र्~|purr~
एकम्, द्वौ, त्रीणि...|one-two-three
समीची सङ्ख्या|It is the correct amount.
विचित्र-मानवः|What a weirdo.
किमर्थं विस्मयलोचनम्?|LOOKING AT ME SuCh A FACE.
किम् इदम्? मम मुखाय किं जातम्?|T-THIS IS... WHAT HAPPENED TO MY Face?!
दोरेमोन!!|Doraemon!
त्राहि माम्!!|Save me!!
"पशु-विवर्तमान"-चर्पट्यः सन्ति ताः। विना मम अनुज्ञां किमर्थं खादितवान् त्वम्?|THOSE WERE "ANIMAL TRANSFORMATion BISCUITS!" HOW COULd you EAT THEM WITHOuT MY PERmiSSION!?
किं जास्यते मे?|What will happen to me?
खादनानन्तरम् अचिरम् प्रभावः दृश्यते।|It takes effect shortly after you eat it.
पञ्चेभ्यः निमेषेभ्यः परम् पूर्वावस्था प्राप्यते।|YOU SHOULD BE BACK TO NORMAL AFTER 5 MINUTES.
अहो! त्रातः अहम्!|Thank goodness...
अतिथये परिविष्टवान् त्वम् किम्? समस्या भविष्यति।|you MAdE youR GUEST EAT SOME...That'll BE A problem...
माता मां तर्जिष्यति।|Mama will scold me.
अतिथये ददौ किम्? समस्या भविष्यति। You gave some to your guest? That will be a problem.
खादितम् वा?|Did he eat them?
द्रष्टुं न शक्नोमि।|I can not see.
किं भवान् इमाः चर्पट्याः खादितवान्?|Did you eat those biscuits?
एकं, द्वे, त्रीणी,...अहो! चतस्रः अखादीत्! कियान् लोभी!|One, two, three..Ah! You ate four of them! How greedy!
किं भवान् वैचित्र्यम् अनुभवति?|Do you feel strange at all?
किम् इदम्? असभ्यता मास्तु!!|What is this? you are being rude!!
प्रभावान् वर्जयितुं शक्यते वा?|Are there any ways to avoid the effects?
नैव!|None at all.
अश्वः इव आचरति।|He is beginning to act like a horse.
अत्र क्षणाय आगच्छतु महोदय।|Sir could you please come over here?
किञ्चित् महत्त्वपूर्ण-कारणम् अस्ति।|It is something important.
अत्र शौचालयम्।|Here is the bathroom.
यावत् पर्यन्तं स्वीय-रूपं न धरति तावत् पर्यन्तम् अत्रैव तिष्ठतु।|Please stay until you are back to normal.
नोबे, कुत्र खाद्यानि?|Nobi-chan, where are the snacks?
वितर्दौ।|They are on the front porch.
अहो भवान् कुशलः। अधुना प्रतिगच्छतु।|Ah, You are fine now. You can go back.
स्वादः भवते न रोचेत।|It may not suit your tastes.
सुष्ठु दृश्यन्ते।|Well, they look nice.
इदानीं सः कुक्कुटः।|He is a chicken now.
पुनः शौचालयम् भवान् गच्छतु!|Please go to the bathroom again.
मास्तु एव!|Cut it out already.
किमपि कर्तव्यम्!|We have to do something!
भवत्कृते दूरवाणी।|A phone call for you.
शीघ्रमेव श्रोष्यति भवान्।|You'll hear it soon.
हरि-ओम्? केन सह सम्भाषे।|Hello! Who am I speaking to?
होहो! मम परिचयं दातुं न शक्यते।|Hee hee I can't really tell you who I am.
कस्मिन् विषये सम्भाषै?|Talk about what?
किम्? किमुक्तं त्वया?|Eh? What was that?
न अवगम्यते!|Can't understand you!
कश्चन मम परिहासं कुर्वन् अस्ति। कुप्यन् अस्मि।|Somebody's mocking me! I'm getting angry!
अहो! अधुनापि प्रभावः दृश्यते।|Ah, the effect is still.
हा!|Phew.
मा पश्य!|Don't look!
अतिथिना सह किं करोषि? क्षमां न करोमि।|What are you doing to our guest? You won't get away with this!!
गच्छाम्यहम्।|I must get going.
अहो! निश्चितं वा?|Oh! Are you sure?
बहु क्षम्यतामेव! आतिथ्यम् असमीचिनम् अभूत्।|I'm dreadfully sorry we weren't able to entertain you very long.
क्षणाय न तिष्ठति वा?|Don't you wanna stay a bit.
इतोऽपि एकः अवशिष्यते।|You still have one more left.
नैव! गच्छाम्यहम्।|No! I'll go!
माता क्रुद्धा इति निश्चितम्।|I'm sure Mama is angry now.
गृहे प्रतिगमनात् बहु भयम् अनुभवन् अस्मि।|I'm too afraid to go home.
गृहे प्रत्यागतः अहम्।|I'm home.
अहो तात!|Ah, papa.
पुनः किमपि असमीचिनम् कृतम् वा?|Did you do something wrong again?
तव स्थाने मात्रे क्षमायाचनां करिष्यामि।|I'll go apologise to your mother for you.
अहो त्वम् अपि काश्चन चखादिथ किल?|Ah, you ate some too. Didn't you?
