Sanskrit|English|Hindi
केचन लोभिनः वैज्ञानिकाः संसारं कम्पयितुं जनान् भेतुं च असीम-शक्तिवन्तं लौहपुत्तलम् आविष्कृतवन्तः। तस्य सङ्गणकबुद्धिः चिन्तन-विचार-शीला आसीत्। ते वैज्ञानिकाः स्वकीयाय स्वामिने तं पुत्तलं यथाशीघ्रम् अर्पयितुम् इच्छन्ति स्म।|Some greedy scientists invented an iron mannequin that had immense power in order to make a sensation in the world and scare people. His computer brain was capable of thinking. They wanted to hand over this mannequin as soon as possible to their boss.|कुछ लोभी वैज्ञानिकों ने संसार में तहलका मचाने और लोगों को भयभीत करने के उद्देश्य से एक ऐसे लौह पुतले का आविष्कार किया जिसमें अपार शक्ति थी। उसका कम्प्यूटर दिमाग सोचने विचारने में समर्थ था। अपने बॉस को वे जल्द से जल्द यह पुतला सौंप देना चाहते थे।
पुत्तले बुद्धिशक्तिं भर्तुम् अन्तिमकार्यं प्रचलत् आसीत्। सङ्गणक-मस्तिष्कं निर्मातुं विश्व-विख्यात-विद्वान् गुस्टाफः पुत्तलस्य शिरसि मस्तिष्कं योजयितुं कार्यरतः आसीत्।|The final work of filling the puppet with brain power was underway. Dr. Gustaf, a world-renowned computer-brain maker, was fitting a brain into the mannequin's head.|पुतले में दिमागी शक्ति भरने का अन्तिम कार्य चल रहा था। कम्प्यूटर-दिमाग बनाने में विश्व विख्यात डॉ० गुस्टाफ पुतले के सिर में दिमाग की फिटिंग कर रहे थे।
गुस्टाफ-विद्वन् यथार्थं कार्यं तु भवतः एव। सङ्गणक-मस्तिष्क-द्वारा हि पुत्तलः विवेकशीलः भवेत्।|Gustaf-scholar, the real work is yours. Through a computer brain, the puppet must become capable of thinking and understanding.|डॉ० गुक्टाफ, असली काम तो आपका है। कम्प्यूटर-दिमाग से ही तो पुतला सोच-समझ सकेगा।
मया तु सर्वं कृतमेव सेलजिन। यदि कोऽपि विकारो न जातः तर्हि अयं पुत्तलः मनुष्यादपि अधिकः बुद्धिमान् शक्तिवान् भविष्यति। उन्नतानि शस्त्राणि अपि इमं स्प्रष्टुमपि न शक्ष्यन्ति।|I have spared no effort on my part, Seljin. If nothing went wrong, this mannequin would have far more brainpower than a human brain. Even the most advanced weapons won't be able to even touch it.|मैंने अपनी तरफ से कोई कसर नहीं छोड़ी है, सेलजिन। यदि कोई गड़बड़ नहीं हुई तो यह पुतला मनुष्य के दिमाग से कहीं ज्यादा दिमागी शक्ति वाला होगा। बड़े-बड़े हथियार भी इसका कुछ नहीं बिगाड़ पाएंगे।
अचिरादेव ते वैज्ञानिकाः पुत्तलमिम स्वस्वामिने अर्पितवन्तः।|A few days later, the scientists handed over the doll to their boss.|कुछ दिन बाद वैज्ञानिक वह पुतला अपने बॉस को सौंप देते हैं।
हैरिसन-विद्वन् स्वीकरोतु इमं सङ्गणक-दानवम्। अनुपमे अस्य भुजबलं बुद्धिबलं च। यदा अयं वीथ्यां जनमध्ये सञ्चरिष्यति तदा "अयं कृत्रिमः" इति केनापि कथयितुं न शक्ष्यते। इमं किमपि कार्यं कारयितुं शक्नुमः।|Dr. Harrison, take this Computer-demon. Its power and Brains are both unprecedented. If and when it moves among people on the street, no one will be able to tell if he is a artificial human. We make it do Any work.|डॉ० हैरीसन, यह लीजिये कम्प्यूटर-दानव इसकी शक्ति और दिमाग दोनों ही बेमिसाल हैं। यह जब सड़क पर लोगों के बीच से जायेगा तो कोई नहीं कह सकेगा कि यह नकली मानव है। हम इसके जरिये कोई भी काम करा सकते हैं।
हैरिसन-विद्वान् उवाच सुखेन - अत्युत्तमं मत्सुहृदः, अविश्वसनीयः चमत्कारः सृष्टः। श्वः विश्वस्य सर्वेषां राजदूतानां पुरतः इमं प्रदर्श्य तान् भाययिष्यामि यतोहि ते सर्वे सदा अस्माकं पुरतः नताः भवेयुः, सर्वं धनं अस्मभ्यं प्रदद्युः हहहह।|Dr. Harrison (cheerfully): Very well my friends, you have performed a wonderful charisma that no one will believe to be true. I will demonstrate it to the ambassadors of all the countries of the world tomorrow and terrify them so that they will always bow before us, lavish wealth on us, ha-ha-ha-ha!|डॉ० हैरीसन (खुश होकर): बहुत खूब मेरे दोस्तों, तुमने एक ऐसा अजूबा करिश्मा कर दिखाया है जिसे कोई सच नहीं मानेगा। मैं कल संसार के सभी देशों के राजदूतों के सामने इसका प्रदर्शन कर उन्हें भयभीत कर दूंगा ताकि वे हमारे सामने हमेशा झुके रहें, धन-दौलत हम पर लुटाते रहें, हा-हा-हा-हा!
अग्रिमे दिने विश्वस्य सर्वेषां देशानां राजदूतानां पुरतः पुत्तलस्य प्रदर्शनम् -|On the next day, the action figure was displayed in front of the ambassadors of all the countries of the world -|दूसरे दिन संसार के सभी देशों के राजदूतों के सामने पुतले का प्रदर्शन -
[हैरिसन-विद्वान् सङ्गणक-मानवम् उद्दिशन्] - गच्छ, तं विशालं कुञ्जरं युध्यस्व|[Dr.Harrison addressing the computer human] - Go fight that huge elephant|[डॉ० हैरीसन कम्प्यूटर मानव को इशारा करते हैं] जाओ, और उस विशाल हाथी से भिड़ जाओ
अनेन प्रकारेण लौहमानवस्य बलं प्रदर्शितम्|In this way the strength of the Iron Man was demonstrated.|तो फिर क्या था - लौह मानव का कमाल
सङ्गणक-मानवः तु स्व-विशाल-हस्ताभ्यां कुञ्जरे मुष्टिप्रहारं कृतवान्।|The computer-human punched the elephant with his massive hands.|कम्प्यूटर मानव ने अपने विशाल हाथों से हाथी को मुक्कों की मार मारी।
शृणु लौहपुरुष कुञ्जरम् उत्थाप्य भूमौ क्षिप।|Listen, Iron Man, pick up the elephant and throw it to the ground.|सुनो लौह पुरुषा उठाओ हाथी को और पटको जमीन पर।
एवम् आदिष्टः लौह-मानवः कुञ्जरं क्षिप्त्वा हतवान्।|Thus ordered, the Iron Man threw the elephant and killed it.|आदेश पाते ही लौह मानव ने हाथी को उछाल कर उसे बेदम कर दिया।
पश्चात् सः निकटस्थितं विशालं तरुम् उत्पाट्य क्षिप्तवान्।|Then he uprooted a huge tree nearby and threw it away.|फिर उसने पास में लगे विशाल पेड़ को जड़ से उखाड़ कर फेंक दिया।
