English|Sanskrit
Tokyo Prefectural Jujutsu School|तोक्यो-जनपदीय-ऐन्द्रजाल-उन्नत पाठशाला
One of only two jujutsu-education facilities in the country.|देशे केवलयोः द्वयोः ऐन्द्रजाल-विद्या-संस्थयोः अन्यतमा पाठशाला।
(The facade is of a private religious school.)|(बहिष्टात् निजीय-धार्मिक-पाठशाला इव दृश्यते।)
Whoa! It is in the mountains?|अहो! पाठशाला पर्वतक्षेत्रे निर्मिता किम्?।
Is this really Tokyo?|तोक्यो-नगरे एव किम्?
This isn't actually out of the ordinary for a tokyo suburb.|तोक्यो-उपनगरेषु इदं साधाराणम्।
What about Fushiguro?|फ़ुषिगुरौः कुत्र?
He's fast asleep after receiving jutsu treatment.|ऐंद्रजालिक-चिकित्सा-कारणतः गाढसुप्तः।
Even after graduation, many jujutsu sorcerers use the facility as a home base.|शिक्षणान्तरमपि ऐंद्रजालिकाः इदं स्थलं केन्द्रकार्यालयवत् उपयुञ्जते।
It is a cornerstone that not only serves as a place of education, but provides mediation for missions and general support for the jujutsu community.|स्थलमिदम् आधारशिला अस्ति न केवलं शिक्षार्थम् अपितु नियोगानां कृते सुचनार्थं ऐन्द्रजालिक-समाजस्य कृते समर्थनार्थं च।
First things, first, yuji - you've got an interview with the principal.|प्रथमं तु प्रधानाचार्यद्वारा तव साक्षात्कारो भविष्यति।
The principal?|प्रधानाचार्यः किम्?
If you mess up, you might get rejected for admission, so stay frosty, okay?|साक्षात्कारः असमीचिनः भविष्यति चेत् तव प्रवेशं निरस्तीभवेत्। अतः सावधानीभव, अवगतम्?
What?|किम्?
Does that mean I get executed right away?|अर्थात् सत्वरं मह्यं मरणदण्डः विहितः भविता किम्?
What a disappointment...I thought you were the leader...|निराशजनकमेतत्। भवान् एव नेता इति मतं मया।
A heirarchy not based purely on strength is boring, if you ask me.|पदानुक्रमः बले पूर्णतया न आधारितश्चेत् नीरसः अस्ति।
sorry, sensei, he comes out sometimes.|क्षम्यताम् आचार्य कदाचित् सः बहिरागच्छति।
What an interesting body you have now.|बहु रोचकं तव शरीरम्।
I owe you a debt, after all.|मया किञ्चित् तुभ्यं प्रतिदातव्यमस्ति एव।
Not again.|पुनः किम्?
When I make this kid's body mine...|यदा अस्याः युवकस्य शरीरं वशीकरिष्यामि...
...You'll be the first one I kill.|...तदा त्वाम् एव प्रथमं हनिष्यामि।
Me, a target of the great sukuna? What an honor!|विख्यातः सुकुनः मां लक्षीकरोति इति सम्मान-विषयकम्।
So he really is famous?|वस्तुतः सः विख्यातः किम्?
Ryomen Sukuna, with four arms and two faces, is a demon of legend.|चतुर्भुजो द्विमुखो रियोमेन-सुकुनो विख्यातो राक्षसः।
The truth is, he was a human who actually existed, but that was over a 1000 years ago.|यथार्थं तु सः सहस्राद् वर्षेभ्यः पूर्वम् मानव आसीत्।
In the golden age of jujutsu, jujutsu sorcerers had sharpened their skills against him, but where ultimately defeated.|इन्द्रजालस्य सुवर्णयुगे ऐन्द्रजालिकाः तं सुकुनं विरुध्य स्वकौशलं वर्धितवन्तः किन्तु तेन पराजिताः जाताः।
