English|Sanskrit
Karela has his day|कारवेल-जयम्
Sabziwala|शाकविक्रेता!!!
Amma, the vegetable vendor is here|अम्बः! शाकविक्रेता आगता।
It was  Sanju's and Gaurav's grand-uncle who was on a visit.|सञ्जोः गौरवस्य च प्रमातुलः दर्शने आगतवान्।
Eeek! What was that? A lizard?|ईऽऽऽ?किं तत्?गृहगोधिका?
No, no. It is only my karela.|न न! केवलं कारवेलः मम।
Karela? Yikes! I thought it was just a lizard.|कारवेलः? हन्त! केवलं गोधिका इति मतवान् अहम्।
What is all this commotion?|किमर्थं कोलाहलम्? 
When the boys had explained - |यदा बालौ प्रतिपादितवन्तौ -
Oh, yes! I quite forgot mamaji has a revulsion for karelas...but then your father likes them so much.|आम्! विस्मृतम् यत् प्रमातुलः कारवेलं द्वेष्टि। किन्तु पित्रे बहु रोचते।
What's a revulsion?|"द्वेष्टि" इति किम्?
Well..he..just hates karelas-he can't tolerate them..that's all.|अ..सः..कारवेलम् न इच्छति...तस्मै न रोचते..तावदेव।
Thimma! Buy a kilo please.|तिम्म! एक-किलोपरिमितम् क्रीणाहि।
Re..re..revulsion for karelas? That sounds like fun, doesn't it. Gaurav?|"कारवेलं द्वे..द्वे..द्वेष्टि" इति किम्? रोचकम् भाति किल गौरव?
It sure does. Sanju.|आम् एवमेव सञ्जो।
Can we borrow a Karela, Thimma?|कारवेलम् एकवारं दद तिम्म!
Sure, Sanju|अवश्यम्, सञ्जो।
Why is mamaji scared of this harmless thing, Sanju?|किमर्थं प्रमातुलः अस्मात् निरपायात् वस्तोः बिभेति, सञ्जो?
I don't know! Come on. Let's play with it.|न जाने! चल! क्रीडाव।
Has that Sabziwala left?|शाकविक्रेता निर्गतः वा?
Yes, yes. mamaji.|आ..आम्..प्रमातुल।
What is that you're playing catch with?|केन वस्तुना ग्रहण-क्रीडा?
A..A..Kar..|का..का..कार..
A Karela? Yikes! Get rid of it at once.|कारवेलः? हन्त! तत्क्षणं क्षिप्यताम्।
Sanju! Gaurav! Didn't tell you mamaji doesn't like karelas? Now be good boys and put it away?|सञ्जो! गौरव! कारवेलाः प्रमातुलाय न रोचन्ते इति पूर्वं कथितं किल? साधू बालौ भूत्वा कारवेलं पृथक्कुरुतम्।
Okay, we will put it away amma.|अस्तु अम्बः! पृथक्करिष्यावः!
Good!|बाढम्!
We will plant this in mamaji's coat pocket.|प्रमातुलस्य प्रावारकस्य कोषे इमम् स्थापयाव।
That will be fun.|विनोदपूर्णम् भविष्यति!
Mamaji, gaurav, Sanju! come! Tea is ready.|मातुल! गौरव! सञ्जो! आगच्छत! चाय-पानं सिद्धम्।
Come, come, let us hurry!|आगच्छ सत्वरम्!
Now, wait and watch.|अधुना पश्य!
So, what've you been up to, you naughty boys?|भोः चेष्टालू! किं कृतम् युष्माभ्याम्?
No..nothing in particular mamaji.|न..नैव..प्रमातुल।
Have some pakodas, children.|पक्ववटान् खादत, बालौ।
Thimma, Please answer the door.|तिम्म, द्वारे कः इति पश्य।
yes, amma.|आम्, अम्बः!
Soon-|अचिरात्-
Who is it?|कः अस्ति?
It is Malla, Mr. Raman's servant boy..|रामन-वर्यस्य सेवकः मल्लः अस्ति।
He says when mamaji met Mr. Ramanin the park yesterday, mamaji had promised to give him a formula for slimming.|सः वदति यत् प्रमातुलः यदा रामन-वर्येण लोकोद्याने ह्यः अमिलत् प्रमातुलः रामन-वर्याय कृशकरणस्य सूत्रं दास्यामि इति वचनम् दत्तवान्।
Oh! That impatient Raman! I told him I'd give it to him this evening.|अरे! ईयत् अधैर्यं! सायङ्काले दास्यामि इति कथितं मया।
Anyway, if he is in a such hurry, I will send it right away. Thimma, you will find it in the right side pocket of my coat.|अस्तु! त्वरा चेत्, शीघ्रमेव प्रेषयामि। तिम्म, मम प्रावारकस्य दक्षिण-कोषे अस्ति।
Yes, mamaji.|आम्! प्रमातुल!
Urk! The kar..|हुम्! कार..
Sometime later-|अनन्तरम्-
Come, let's go in and see if the karela's still there.|आगच्छ, कारवेल्लः अधुनापि अस्ति वा न वा द्रक्ष्यावः।
Hey! It is not here.|अरे! नास्ति अत्र!
Timma must have taken it out.|तिम्मः गृहीतवान् इति मन्ये।
I'll answer it.|द्वारे कः इति पश्यामि।
Mr. Raman returns this formula with his compliments.|रामन-वर्यः सादरं सूत्रं प्रत्यर्पयति।
What is it thimma?|किं जातं तिम्म?
Mr. Raman has just returned Mamaji's formula for slimming.|रामन-वर्यः प्रमातुलस्य कृशीकरण-सूत्रं प्रत्यर्पितवान्।
But why'd you give him this karela?|किमर्थम् इदं कारवेल्लं दत्तम्?
Well, mamaji had asked me to give this formula that was in his right side coat pocket.|प्रमातुलः एव उक्तवान् किल? प्रावारकस्य दक्षिण-कोषे स्थितं सूत्रं देहि इति?
And all I found in his coat pocket was this. So I thought this was the formula! Why? Did I make a mistake?|तत्र तु इदम् एव लब्धम्। अतएव इदमेव सूत्रम् इति मतवान् अहम्। किमर्थं पृच्छसि? दोषः जातः वा?
No, no, you did the right thing.|नहि! नहि! साधु एव।
Anyway, give me back the formu..er..karela - I will put it back in mamaji's coat pocket.|अस्तु! सूत्रम्..अर्थात्..कारवेल्लं प्रतिदेहि। प्रमातुलस्य प्रावारकस्य कोषे पुनः स्थापयामि।
And you tell him that Mr. Raman has returned the formula?|अपिच रामन-वर्यं सूत्रं प्रतिदत्तवान् इति तं वदतु।
Okay|एवमेव करिष्ये।
Mamaji! Er..Mr. Raman has returned the formula.|प्रमातुल! अ..रामन-वर्यः सूत्रं प्रत्यर्पितवान्।
Already? Well, Put it back where you found it.|इयत् शीघ्रम्? अस्तु यतः गृहीतं तत्रैव स्थापय।
I have.|आम्! स्थापितम्।
Good.|अस्तु।
Our Karela's really having a fine adventure!|अस्मदीयं कारवेल्लं तु सम्यक् विहरत् अस्ति।
Yes, but the fun has not started yet. Wait till Mamaji puts on his coat.|आम्, किन्तु विनोदम् अधुना अपि न आरभत। प्रमातुलः प्रावारकं धर्तुं प्रतीक्षस्व।
just then|तदैव
Gaurav! Sanju! Game for a walk?|गौरव! सञ्जो! भ्रमणाय गच्छाम वा?
Of course.|अवश्यम्।
Come on. Let us go.|गच्छाम एव।
Gaurava, Fetch my coat will you?|गौरव, मदीयं प्रावारकम् आनय।
Of course, mamaji.|अवश्यं प्रमातुल।
And soon they were on their way.|तथा शीघ्रमेव ते सर्वे गच्छमानाः बभूवुः।
Be careful, Mamaji. The park is infested with thieves, esp., Bhimu and gang.|भ्रमणे जागरुकतास्तु, प्रमातुल! उद्याने चोराः सन्ति, विषेशतः भीमु-गणस्य।
Don't worry, beti.|चिन्तु मास्तु वत्से।
We're safe with mamaji around.|प्रमातुलेन सह सुरक्षितौ आवाम्।
soon|अचिरात्
Ah! Bhimu, here comes an old man with two boys.|अरे, भीमो अत्र कश्चन वृद्धः बालाभ्यां सह आगच्छन् अस्ति।
Hey, what is that?|अरे, किम् तत्?
Just a mouse.|केवलं मूषकः।
M..Mouse.|मू..मूषकः!
SSH! Come off it, Bhimu. A tough man like you can't be scared of mice?|ष्ष्ष्! अलम् एव! त्वया सदृशः दृढ-नरः मूषकात् न बिभीहि।
I can face ten tigers but mice? Yikes!|दश-व्याघ्रान् सम्मुखीकर्तुं शक्नोमि किन्तु मूषाकान्? हन्त!
SSH! They are closer now.|ष्ष्ष्! ते समीपे आगतवन्तः।
Hands up!|हस्तौ उपरि!
Hand over whatever you are carrying.|सर्वाणि धृतानि वस्तूनि समर्पयत।
Search him, Bhimu. I will hold the kids.|आशरीरे अन्वेषणं कुरु, भीमो। बालौ गृह्णामि।
Okay.|अस्तु।
Hey, what is wrong?|अरे! किं जातमेव?
Run-run!|धावव! धावव एव!
W-Why?|किमर्थम् भोः?
Rats! Rats in his pocket.|मूषकाः! कोषे मूषकाः एव!
What? Rats in my pocket? Let me see|किम्? कोषे मूषकाः इति? द्रक्ष्यामि।
AH! I found it.|अहो! लब्धमेव!
Here it is.|अत्र अस्ति!
What? A karela?|किम्? कारवेल्लः?
Yikes.|हन्त!
Run, boys. Run!|धावाम, बालौ! धावाम एव!
Later|अनन्तरम्!
You naughty boys had no business to plant that karela in my pocket.|दुष्ट-बालौ! मम कोषे कारवेल्लं स्थापयित्वा अनुचितम् कृतम्।
But Mamaji you must admit that it saved us from the thieves.|किन्तु प्रमातुल! मन्तव्यं यत् सः कारवेल्लः चोराभ्यां अस्मान् अरक्षत्।
Well, that I must. Thanks anyway, Karela. Even though I dislike you.|अवश्यमेव! धन्यवादः कारवेल्ल! त्वयि द्वेषे सत्यपि।
Meet the horse.|अश्वेन मिलापः।
50 million years ago, horses were small creatures found on the american continent.|पञ्चकोटि-वत्सरेभ्यः पूर्वं अश्वाः लघु-पशवः ये अमेरिका-महाद्वीपे लब्धाः आसन्।
They were hunted by bigger animals.|बृहत्तराः पशवः तेषां खेटनं कुर्वन्तः आसन्।
But they could run swiftly and usually managed to escape unhurt.|किन्तु वेग-धावनेन, विना व्रणेन, भूयिष्ठेन ते पलायितवन्तः।
Over the centuries horses changed and evolved into the horses we know today.|गतासु बह्वीषु शताब्दीषु अश्वाः परिवर्तिताः उद्विकसिताः जाताः यथा ते अद्य सन्ति।
But they could still run fast.|किन्तु वेगेन धावितुं अपि शक्तवन्तः।
When the plains of north america grew bitterly cold, the horses migrated across the bering straits into asia.|उत्तर-अमेरिकायाः भू-क्षेत्रेषु यदा तीव्र-शैत्यम् संजातं तदा अश्वाः बेरिङ्-जलडमरूमध्य-मार्ग-द्वारा जम्बू-द्वीपे स्थानन्तरम् अकुर्वन्।
In the cool, northern lands of Eurasia, pastures were plentiful.|युरेषिया-खण्डस्य शीतले गव्यूतयः बह्व्यः आसन्।
Heavy horse breeds developed here.|अत्र स्थूर-जातयः विकिसिताः जाताः।
Clydesdales, shires, percheron and suffolks are some of the heavy horse breeds.|क्लैड्स्डेल्सः, षैर्सः, पेर्चेरोनः, सफोल्क्सः च काश्चन घनाः अश्वा-जातयः सन्ति।
They are tall and strong and their hooves are covered with hair.|ते उन्नताः, बलवन्तः लोमश-शफ-युक्ताः सन्ति।
In the hotter lands, pastures were few.|उष्णतराः क्षेत्रेषु गव्यूतयः न्यूनाः।
So horses remained smaller, but were lighter and swifter.|अतएव अश्वाः लघुतराः किन्तु अल्पभाराः वेगतराः च।
Their descendants are the arabian horses of today.|अद्यतनाः अरबीयाश्वाः एव तेषां वंशधराः।
For over 5000 years horses have served man loyally.|पञ्चसहस्रात् अधिकान् वर्षान् यावत् अश्वाः मानवजातेः सेवाम् निष्ठया अकुर्वन्।
As pack animals they have carried heavy loads on their backs.|भार-वाहक-पशु-रूपेण ते स्वीय-पृष्ठेषु महतः भारान् वहन्तः आसन्।
They have drawn ploughs.|हलानि आकर्षयन्।
They have even accompanied man when he went hunting.|मानवेन सह आखेटम् अगच्छन्।
Man could travel at incredible speeds on horseback.|अश्वारुढाः अतिवेगेन यात्रां कर्तुम् अशक्नुवन्।
For horses can travel over 48 kmph.|यतोहि अश्वाः प्रतिहोराम् अष्टचत्वारिंशत्-किमिमितात्-दूरम् गन्तुं शक्नुवन्ति।
Horses were harnessed to carts and carriages - some light and small, others large and heavy.|अश्वाः अल्पभार-लघुभिः वा भार-युक्त-महद्भिः शकटैः वाहनैः च युज्यन्ते स्म।
Now journeys became quicker and more comfortable.|अधुना यात्राः शीघ्रतराः सौख्यकारिण्यः जाताः।
Wars long ago were simple affairs.|बहु प्राक् युद्धानि सरलानि आसन्।
Two armies fought hand-to-hand.|उभयोः सेनयोः मध्ये हस्ताहस्ति-युद्धम् आसीत्।
The entry of the horse on the battlefield changed all that.|युद्ध-भूम्याम् अश्वस्य उपयोगेन युद्धनीतौ परिवर्तनं सञ्जातम्।
Soldiers, mounted on horse-back, could move swiftly and fight more complex and decisive battles.|अश्वारूढाः सैनिकाः वेगेन सञ्चारं कर्तुं वा इतोऽपि असरलानि निर्णायकानि युद्धानि योद्धुं वा अशक्नुवन्।
Then the motor engine was invented and the horse was no longer as useful to man as before.|अनन्तरं यन्त्रस्य आविष्काराद् अश्वस्य मानवजात्यै उपयोगिता पूर्वस्य अपेक्षया न्यूना जाता।
But, strangely enough, in recent years, the world's horse population has increased.|किन्तु वैचित्रेण अद्यतन-काले विश्वस्मिन् अश्वस्य सङ्ख्या वर्धिता जाता।
Horses are bred at stud farms.|पशु-क्षेत्रे अश्वानां प्रसवनं जायते।
When a foal is born, he can see and walk.|यदा अश्वशावकस्य जन्म भवति तदा सः शावकः द्रष्टुं चलितुं शक्नोति।
Within hours he will run into the fields.|जन्मात् होरासु सः शावकः क्षेत्रे धावितुं शक्नोति।
At first he will nibble at this mother's food, soon he will be fed hay, bran and oats.|आरम्भे सः मातुः भोजनं निष्कुषति, अचिरात् परम् घास-तृणानि गोधूम-कण्डनं करम्भं च स्वीकरोति।
He will need plenty of water.|तस्मै बहुमात्रायां जलस्य आवश्यकं भवति।
As he grows older, the foal will have his own stable box.|यदा सः वयोधिकः भविष्यति तदा तस्मै अश्व-स्थाने स्वीय-कक्षः दीयते।
Its floor will be covered with straw.|भूमिः पलाल्या आच्छादिता भवति।
A blanket or a light sheet will keep him warm when it is cold.|शैत्यं निवारयितुं कम्बलः अपि स्थाप्यते।
Soon his training will begin.|अचिरात् परं तस्य प्रशिक्षणस्य प्रारम्भः आरभ्यते।
He will be taught to walk slowly, to trot, to canter and gallop.|शैनैः चलितुं, शीघ्रतया चलितुं, शैनैः धावितुं, शीघ्रतया धावितुं च प्रशिक्षितः भविष्यति।
